feature,correlation_score,mutual_information,model_importance_gain,model_importance_split,permutation_importance,permutation_positive_folds,shap_importance,shap_mean_signed,votes,selected,removal_reason
nifty_return_5,0.02809151807556514,0.11728777661546541,0.013230292045840003,0.018839285714285715,0.0007167754564222917,0.75,0.016031182336896856,0.001516664942817376,4.0,True,
MACD_Hist_Ratio,0.025983893477896727,0.0,0.007697456427785476,0.016339285714285716,8.707395237158208e-05,0.75,0.01197858792383693,0.005650973016929094,3.0,True,
sector_volatility,0.01679866444828435,0.03361574885365726,0.005480943493582903,0.013571428571428571,-0.0002948658496358299,0.5,0.008649293628551708,0.002225107072675797,3.0,True,
Rel_Ret_21,-0.005855952219472382,0.0037488522997741747,0.0015069773198612768,0.004285714285714286,-7.868326920415966e-05,0.5,0.00705205992983435,-3.8371103401085006e-05,2.0,True,
Ret_126,0.01844436846849215,0.0,0.0024545523423508578,0.007857142857142858,0.00021162218960998438,0.75,0.006787072338429027,-0.002672823690441541,3.0,True,
Rel_Ret_63,0.023461517664282682,0.0016522830965977064,0.001574449903880476,0.0045535714285714285,7.569233242739337e-05,0.5,0.006307285684312692,-0.0006438043362418701,2.0,True,
Volatility,0.009566399833994018,0.0,0.0022933527864519537,0.0066071428571428574,-0.00036993457465772655,0.5,0.006056519676147561,0.0003345080233554702,2.0,True,
ATR_Ratio,0.013666335099185705,0.0,0.0018794781435924272,0.00625,0.00013716977218665438,0.5,0.005865597227058711,0.0004222111553025547,3.0,True,
High252_Dist,0.010803996781779474,0.002997861024125692,0.006012922091398239,0.011964285714285714,3.7231234959434846e-05,0.5,0.005693349138803923,0.00346475906334169,4.0,True,
nifty_return_1,0.032265215402124646,0.11839073040410808,0.0015774148304024084,0.003125,0.00025575344558738855,1.0,0.004033190728330145,-0.00044414715145964337,3.0,True,
sector_return_5,0.03260295266738769,0.03134102091075741,0.0007192986284835862,0.002589285714285714,0.00014012538374714073,0.75,0.003831473034775451,0.00014086601587069104,2.0,True,
usdinr_return_1,-0.008943747887493032,0.11866784179535328,0.0006442996874631542,0.002232142857142857,9.223236215929117e-07,0.5,0.0009662495334562617,0.0006216352785962777,2.0,True,
stock_vs_nifty_return,-0.0026026780590019992,0.003217705735250931,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,
india_vix_volatility,-0.01995513602626706,0.11633695100855368,0.08643508420682922,0.08053571428571428,-0.023414317848373955,0.25,0.1308521351542666,-0.03860080949799455,3.0,False,permutation importance negative out-of-sample
nifty_sma_ratio,0.01715827951093268,0.11752471550151555,0.08031784587107607,0.05142857142857143,-0.002018014519197068,0.25,0.06538902555940507,-0.0018977638751520808,3.0,False,permutation importance negative out-of-sample
daily_MACD_signal_norm,-0.007234293676755823,0.0003373011160061612,0.009256708364806786,0.016160714285714285,-0.0019086281200426936,0.25,0.03882550133055926,-0.002420292491681593,2.0,False,permutation importance negative out-of-sample
Low252_Dist,0.03699809379467118,0.006451754835022472,0.009345009189166757,0.02,-0.00044278188834559023,0.25,0.03684355092360243,0.0007066812035624907,3.0,False,permutation importance negative out-of-sample
Mkt_Ret_21,0.033381096197650326,0.11715595967468762,0.02578954855801418,0.02419642857142857,-0.0033795422500680723,0.25,0.027341443984915413,-0.010725636893180901,3.0,False,permutation importance negative out-of-sample
nifty_momentum,0.022031443696000727,0.11600637282284687,0.022341736445237122,0.024464285714285713,-0.006019046174136873,0.0,0.024426263148349062,-0.004461103478694798,3.0,False,permutation importance negative out-of-sample
