feature,correlation_score,mutual_information,model_importance_gain,model_importance_split,permutation_importance,permutation_positive_folds,shap_importance,shap_mean_signed,votes,selected,removal_reason
sector_momentum,0.021353645391543347,0.045742429956876274,0.004279584762796623,0.011339285714285715,-0.00026259213629366746,0.5,0.010914766388544305,0.0012143333011602527,3.0,False,redundant with sector_return_20 (|rho|>=0.9)
Vol_Ratio,-0.03203027375659815,0.0012251742901889795,0.0018855286973693149,0.008035714285714285,-0.00041660734806758803,0.5,0.009156464929222152,4.833819958330595e-05,1.0,False,low agreement between selection methods
usdinr_return_5,0.009719101850465817,0.12430516331780361,0.0008632167308884721,0.0033928571428571428,-0.00013254620408745718,0.25,0.007103080808156114,0.0006142696537061198,2.0,False,permutation importance negative out-of-sample
Mkt_Ret_21,0.004161560778074918,0.127754530691915,0.002671496108787948,0.005178571428571428,0.00011672635986961777,0.75,0.0068378393500775556,-0.003595149127539042,3.0,False,redundant with nifty_momentum (|rho|>=0.9)
daily_MACD_signal_norm,0.043008333786802,0.002312893558195306,0.0014401641953424586,0.004464285714285714,-0.00015251104940427104,0.5,0.005920020858900116,0.0002565421942661478,0.0,False,low agreement between selection methods
MACD_Ratio,0.04272140709243924,0.0024247441238693934,0.0012244311844359017,0.004375,0.0007427380466245026,1.0,0.005495729356717058,0.000369175440210016,1.0,False,low agreement between selection methods
ATR_Ratio,-0.005189586379518534,0.005413187597531843,0.002011526277632681,0.0067857142857142855,-0.00035680370292232033,0.25,0.0038576959928301605,0.00029899943814221683,2.0,False,permutation importance negative out-of-sample
SMA50_Ratio,0.043257086569395586,0.00320064105038087,0.0013662934568075516,0.003660714285714286,-2.0434693882021016e-05,0.5,0.0034409095634185603,0.0002884475693335651,0.0,False,low agreement between selection methods
Ret_21,0.03512190897842542,0.0032360009256797717,0.0004174516263362118,0.002142857142857143,0.00013143364415940198,0.75,0.003147684342551607,-0.0005736189478705049,1.0,False,low agreement between selection methods
MACD_Hist_Ratio,0.00978299411999594,0.001926492825250703,0.0008189041775981053,0.0033035714285714287,-0.00015840145156114277,0.0,0.0024140275162768433,0.0001423236693500751,0.0,False,permutation importance negative out-of-sample
Rel_Ret_21,0.04528405068168001,0.0006756531806728638,0.0005058837418513158,0.0015178571428571428,-3.799420601635628e-06,0.25,0.0016573433685297774,0.00024286259013063657,0.0,False,permutation importance negative out-of-sample
stock_nifty_relative_strength,0.04570120473924109,0.0038606524889919225,0.00048091974427679065,0.001875,3.6521743703559394e-05,1.0,0.0016213865933674284,0.0003999274557364925,1.0,False,low agreement between selection methods
SMA20_Ratio,0.03356066274913316,0.0,0.0003664223267408531,0.0010714285714285715,-5.922393403019291e-06,0.25,0.0015307273994398757,0.00025641176444217477,0.0,False,permutation importance negative out-of-sample
stock_sector_relative_strength,0.0328687592297515,0.000615664369445712,0.0002766272300172752,0.0014285714285714286,-2.824567256982935e-05,0.25,0.001316579099966119,0.00013269048059196928,0.0,False,permutation importance negative out-of-sample
Ret21_Z,0.03514223181235295,5.1932536460741474e-05,0.0001790781998266401,0.0010714285714285715,1.900861130148257e-05,0.5,0.0012921067283105465,-0.00030756263800859696,1.0,False,low agreement between selection methods
sector_return_5,0.012296196499898885,0.04124865085146556,0.00023688077473520394,0.0008928571428571428,1.912261845644451e-06,0.5,0.0008339141993834748,0.0001230708507548752,1.0,False,low agreement between selection methods
india_vix_change,-0.02415623580648987,0.05719455495458514,6.336222516310816e-05,0.00035714285714285714,3.5565190602502663e-06,0.25,0.0006237134849967564,-0.00016377160878205092,1.0,False,low agreement between selection methods
daily_trend_direction,0.047579685470688186,0.004884976456414281,6.253776471644726e-05,0.00017857142857142857,-2.602754528166496e-06,0.25,0.0005397735584489314,1.9389033534462154e-05,0.0,False,permutation importance negative out-of-sample
RSI,0.03870424357595963,0.0011792132979950853,0.00010596964447136947,0.00035714285714285714,1.2212041795832868e-05,0.25,0.0004319028116456022,2.2561267493285924e-05,1.0,False,low agreement between selection methods
BB_PctB,0.03286743680276478,0.002081968625265329,4.629968921956438e-05,0.00026785714285714287,-6.170607377166867e-06,0.25,0.00025260868254882283,9.730321091406059e-05,0.0,False,permutation importance negative out-of-sample
Ret_5,0.017361410464236317,0.0,0.00011144093741732525,0.00026785714285714287,1.2529190218102393e-06,0.25,0.00024395987915371844,7.472845375869196e-05,0.0,False,low agreement between selection methods
daily_price_vs_EMA,0.03582392729576448,0.0010867074852562997,1.5952144350397943e-05,8.928571428571429e-05,-5.115828609796498e-06,0.0,0.00022036161778200229,-4.99534580552669e-05,0.0,False,permutation importance negative out-of-sample
Stoch_K,0.028509519701422924,0.0,4.5657790616280763e-05,0.00017857142857142857,3.7367626559009492e-06,0.25,0.00015160727641477396,7.36428205437076e-05,0.0,False,low agreement between selection methods
Ret_1,0.006600008463127579,0.0015945521873035329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,low agreement between selection methods
sector_return_1,0.011085560414577488,0.043896091848294905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,low agreement between selection methods
usdinr_return_1,0.00858075505970599,0.12753989422585987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,low agreement between selection methods
stock_vs_nifty_return,0.0037822626287629733,0.0034824431126121436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,low agreement between selection methods
