variant,n_features,cv_auc,cv_fold_aucs,test_roc_auc,test_directional_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_up_signal_precision,test_up_rate_top_quintile,test_up_rate_bottom_quintile,test_up_rate,test_majority_baseline_accuracy,test_log_loss,test_brier_score,test_rmse_probability,test_rows
without_1h,69,0.5508,"[0.5213, 0.6805, 0.4505]",0.604,0.4985,0.4985,0.4752,0.4993,0.487,0.4739,0.4649,0.4571,0.4767,0.5233,0.8178,0.3026,0.5501,31477
with_1h,84,0.5528,"[0.5217, 0.6799, 0.4567]",0.6028,0.4931,0.4931,0.4698,0.4931,0.4812,0.4691,0.4684,0.4641,0.4767,0.5233,0.8209,0.3034,0.5508,31477
