variant,n_features,cv_auc,cv_fold_aucs,test_roc_auc,test_directional_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_up_signal_precision,test_up_rate_top_quintile,test_up_rate_bottom_quintile,test_up_rate,test_majority_baseline_accuracy,test_log_loss,test_brier_score,test_rmse_probability,test_rows
without_1h,69,0.5436,"[0.5322, 0.6126, 0.4861]",0.5352,0.507,0.5072,0.4232,0.5085,0.462,0.4223,0.4382,0.3969,0.4162,0.5838,0.8065,0.2891,0.5377,32197
with_1h,84,0.5363,"[0.5354, 0.6027, 0.4707]",0.5418,0.5128,0.5132,0.4291,0.5155,0.4683,0.4327,0.4421,0.3941,0.4162,0.5838,0.8163,0.2913,0.5397,32197
