experiment,model,config,iterations,n_features,cv_auc,cv_fold_aucs,val_roc_auc,val_directional_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_up_signal_precision,val_up_rate_top_quintile,val_up_rate_bottom_quintile,val_up_rate,val_majority_baseline_accuracy,val_log_loss,val_brier_score,val_rmse_probability,val_rows,test_roc_auc,test_directional_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_up_signal_precision,test_up_rate_top_quintile,test_up_rate_bottom_quintile,test_up_rate,test_majority_baseline_accuracy,test_log_loss,test_brier_score,test_rmse_probability,test_rows
existing_hgb_baseline,hgb,depth2,50,29,0.5326,"[0.5332, 0.5894, 0.5035, 0.5041]",0.4793,0.5155,0.5083,0.5397,0.6174,0.5759,0.5382,0.5004,0.5107,0.5329,0.5329,0.6993,0.253,0.503,153447,0.5858,0.51,0.5142,0.4998,0.721,0.5904,0.5135,0.5295,0.4372,0.4898,0.5102,0.6878,0.2474,0.4974,59811
lgbm_baseline,lgbm,leaves31,400,29,0.5409,"[0.5376, 0.5917, 0.487, 0.5474]",0.5163,0.5013,0.5012,0.5341,0.5032,0.5182,0.5354,0.5345,0.5372,0.5329,0.5329,0.7381,0.2692,0.5189,153447,0.5336,0.5049,0.505,0.4947,0.5078,0.5012,0.4945,0.5007,0.4836,0.4898,0.5102,0.7181,0.2611,0.511,59811
lgbm_baseline_market,lgbm,leaves15,400,55,0.498,"[0.4866, 0.5201, 0.4758, 0.5096]",0.4798,0.4934,0.4932,0.5262,0.4957,0.5105,0.5268,0.5259,0.5501,0.5329,0.5329,0.7467,0.2739,0.5233,153447,0.5139,0.5108,0.5109,0.5005,0.5138,0.5071,0.5018,0.5074,0.4578,0.4898,0.5102,0.7235,0.2642,0.514,59811
lgbm_baseline_daily_mtf,lgbm,leaves31,400,43,0.541,"[0.5387, 0.5888, 0.4869, 0.5496]",0.5175,0.5005,0.5004,0.5333,0.5024,0.5174,0.5339,0.5383,0.5343,0.5329,0.5329,0.7386,0.2693,0.5189,153447,0.526,0.5013,0.5014,0.4911,0.5041,0.4975,0.4945,0.5007,0.4876,0.4898,0.5102,0.7228,0.2633,0.5131,59811
lgbm_baseline_market_mtf,lgbm,leaves31,400,69,0.5045,"[0.4817, 0.5414, 0.486, 0.5091]",0.4815,0.4976,0.4974,0.5304,0.4997,0.5146,0.531,0.5314,0.5364,0.5329,0.5329,0.7509,0.2754,0.5248,153447,0.5082,0.5104,0.5105,0.5002,0.5134,0.5067,0.5006,0.5124,0.465,0.4898,0.5102,0.7286,0.2663,0.5161,59811
lgbm_selected,lgbm,leaves7,50,24,0.534,"[0.5571, 0.6084, 0.482, 0.4886]",0.4993,0.5379,0.5185,0.5445,0.8139,0.6525,0.5223,0.5824,0.4628,0.5329,0.5329,0.7031,0.2548,0.5048,153447,0.5498,0.521,0.5268,0.5068,0.8127,0.6243,0.4737,0.545,0.4259,0.4898,0.5102,0.6995,0.2531,0.5031,59811
