experiment,model,config,iterations,n_features,cv_auc,cv_fold_aucs,val_roc_auc,val_directional_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_up_signal_precision,val_up_rate_top_quintile,val_up_rate_bottom_quintile,val_up_rate,val_majority_baseline_accuracy,val_log_loss,val_brier_score,val_rmse_probability,val_rows,test_roc_auc,test_directional_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_up_signal_precision,test_up_rate_top_quintile,test_up_rate_bottom_quintile,test_up_rate,test_majority_baseline_accuracy,test_log_loss,test_brier_score,test_rmse_probability,test_rows
existing_hgb_baseline,hgb,leaf15,300,29,0.5077,"[0.5243, 0.5281, 0.492, 0.4865]",0.4977,0.5071,0.5072,0.4874,0.5096,0.4982,0.4882,0.497,0.4629,0.4802,0.5198,0.7133,0.2595,0.5094,157138,0.4974,0.5099,0.5105,0.437,0.5148,0.4727,0.4366,0.4417,0.4125,0.4268,0.5732,0.7041,0.255,0.505,60173
lgbm_baseline,lgbm,leaves7,400,29,0.511,"[0.5306, 0.5112, 0.4953, 0.507]",0.4969,0.5072,0.5073,0.4874,0.5098,0.4984,0.4895,0.497,0.4638,0.4802,0.5198,0.7057,0.256,0.506,157138,0.4991,0.5096,0.5102,0.4367,0.5145,0.4724,0.4408,0.4424,0.4145,0.4268,0.5732,0.701,0.2536,0.5035,60173
lgbm_baseline_market,lgbm,leaves31,400,55,0.5169,"[0.5204, 0.5522, 0.4843, 0.5105]",0.5147,0.5114,0.5115,0.4917,0.5141,0.5026,0.4936,0.5008,0.4617,0.4802,0.5198,0.7217,0.263,0.5128,157138,0.5153,0.5146,0.5153,0.4417,0.5203,0.4778,0.4475,0.4521,0.4027,0.4268,0.5732,0.7058,0.2556,0.5056,60173
lgbm_baseline_daily_mtf,lgbm,leaves7,400,43,0.5095,"[0.5322, 0.5118, 0.4958, 0.4982]",0.4966,0.5056,0.5057,0.4858,0.5081,0.4967,0.4897,0.4973,0.4646,0.4802,0.5198,0.7063,0.2563,0.5063,157138,0.499,0.5111,0.5117,0.4382,0.5162,0.474,0.4397,0.4442,0.4116,0.4268,0.5732,0.7004,0.2533,0.5033,60173
lgbm_baseline_market_mtf,lgbm,leaves31,200,69,0.5186,"[0.5182, 0.5577, 0.4902, 0.5084]",0.5156,0.5101,0.5102,0.4903,0.5127,0.5012,0.4925,0.4993,0.4658,0.4802,0.5198,0.7129,0.2592,0.5091,157138,0.5271,0.512,0.5126,0.4391,0.5172,0.475,0.4439,0.4439,0.4087,0.4268,0.5732,0.6965,0.2514,0.5014,60173
lgbm_selected,lgbm,leaves31,400,26,0.5277,"[0.5269, 0.5302, 0.5055, 0.5481]",0.523,0.5116,0.5117,0.4918,0.5143,0.5028,0.4946,0.5029,0.4604,0.4802,0.5198,0.7112,0.2581,0.508,157138,0.4883,0.5156,0.5163,0.4427,0.5215,0.4789,0.4448,0.4497,0.3961,0.4268,0.5732,0.7222,0.2631,0.513,60173
