Date,equity,positions,turnover,cost,period_return,benchmark_equity
2025-05-27,1032358.8307957996,27,0.9999999999999998,0.0014999999999999996,0.032358830795799674,1059493.3091035362
2025-06-25,1085721.7655799524,35,0.5714285714285715,0.0008571428571428573,0.051690297203170726,1086891.6330750508
2025-07-24,1072546.4365528994,28,0.9142857142857143,0.0013714285714285714,-0.012135087869418646,1092900.4475559609
2025-08-25,1060560.4575758963,37,0.7027027027027026,0.001054054054054054,-0.011175254113495897,1077358.5532654005
2025-09-24,1081662.9059402677,33,0.5945945945945947,0.0008918918918918922,0.019897449705606647,1098951.2475039256
2025-10-27,1121742.2644958135,32,0.48484848484848486,0.0007272727272727273,0.03705346493388877,1129626.3184678827
2025-11-26,1139419.0547257967,43,0.6046511627906976,0.0009069767441860464,0.015758334859503797,1130729.5618868563
2025-12-26,1140657.065809202,42,0.41860465116279066,0.000627906976744186,0.001086528330617724,1123231.23667035
2026-01-27,1120690.3563873956,33,0.5714285714285715,0.0008571428571428573,-0.01750456821800468,1083235.9492252555
2026-02-25,1186009.8736676646,39,0.6666666666666666,0.001,0.05828507125806808,1128831.1145700775
2026-06-01,1215048.4654823726,33,0.7692307692307693,0.001153846153846154,0.024484274928426825,1108784.7772258609
2026-06-30,1232273.150231277,55,2.0,0.003,0.014176129790893669,1135319.6671084857
2026-07-29,1207559.9887734402,30,1.9999999999999996,0.002999999999999999,-0.020054937862760865,1157880.1313050042
