Date,equity,positions,turnover,cost,period_return,benchmark_equity
2025-05-23,970509.223197141,37,0.9999999999999998,0.0014999999999999996,-0.029490776802859005,994908.9500585521
2025-05-30,968233.7060380235,37,1.3513513513513513,0.002027027027027027,-0.002344663095134077,993825.9412473037
2025-06-06,993048.8860115703,37,1.0810810810810811,0.0016216216216216218,0.025629328765148857,1022995.3862944827
2025-06-13,980630.1292148124,37,1.2972972972972971,0.0019459459459459458,-0.012505685240367149,1005769.2373141124
2025-06-20,981181.3457172128,37,1.6216216216216217,0.0024324324324324327,0.0005621043918380406,997324.9409472971
2025-06-27,1015722.5388083011,37,0.8648648648648647,0.001297297297297297,0.03520367895482124,1036077.6919051937
2025-07-04,1022626.468259596,37,1.351351351351351,0.0020270270270270267,0.006797062374332174,1040583.8977054697
2025-07-11,999620.3230855563,37,0.8648648648648649,0.0012972972972972974,-0.0224971149174281,1028106.6337520654
2025-07-18,1003636.2763493558,37,0.7567567567567568,0.0011351351351351353,0.004017478607681227,1036712.3399666527
2025-07-25,982393.9106150586,37,0.7567567567567568,0.0011351351351351353,-0.021165402481827928,1015156.6712456635
2025-08-01,968602.3590518399,37,1.0810810810810811,0.0016216216216216218,-0.01403871849590765,996541.042608742
2025-08-08,965701.8871802355,37,0.9189189189189189,0.0013783783783783783,-0.002994491851582645,987646.9897086432
2025-08-18,999550.9794013929,37,1.027027027027027,0.0015405405405405405,0.03505128515384149,1011983.2773584874
2025-08-25,1003304.9998121081,37,0.9189189189189186,0.001378378378378378,0.0037557068004310293,1016796.58341581
2025-09-02,994546.8788078631,37,0.7567567567567566,0.0011351351351351349,-0.008729270766003445,1014217.7614758288
2025-09-09,1014555.0667823127,37,0.7027027027027026,0.001054054054054054,0.020117893284661355,1025866.9613290671
2025-09-16,1036384.0257036332,37,0.5945945945945946,0.000891891891891892,0.02151579508695534,1047377.0942244825
2025-09-23,1033213.6207742791,37,0.6486486486486487,0.000972972972972973,-0.003059102466580017,1043937.3193363934
2025-09-30,1008083.5683787861,37,0.7027027027027026,0.001054054054054054,-0.02432222329459892,1018587.6772552903
2025-10-08,1035220.2269349241,37,0.5945945945945946,0.000891891891891892,0.026919056522049654,1036364.4862268845
2025-10-15,1054694.942044266,37,0.9189189189189189,0.0013783783783783783,0.018812147022090792,1048935.9866894542
2025-10-23,1062276.1223752957,37,1.405405405405405,0.0021081081081081076,0.0071880313717400295,1060579.106142526
2025-10-30,1062966.2636352521,37,1.4594594594594597,0.0021891891891891897,0.0006496816085946816,1067023.774261118
2025-11-07,1062391.6758101077,37,1.2972972972972971,0.0019459459459459458,-0.0005405513277338542,1056362.00143216
2025-11-14,1071907.7151222131,37,1.2972972972972971,0.0019459459459459458,0.008957185498323103,1067714.796357445
2025-11-21,1056448.4075054564,37,1.243243243243243,0.0018648648648648646,-0.014422237473115117,1055544.7607771799
2025-11-28,1066174.4641514737,37,0.9189189189189189,0.0013783783783783783,0.009206371628675136,1066271.2201407843
2025-12-05,1056180.6940746107,37,0.6486486486486487,0.000972972972972973,-0.009373484746529345,1055559.5067989207
2025-12-12,1055551.6579740923,37,0.7027027027027026,0.001054054054054054,-0.0005955762153650197,1049273.5174193948
2025-12-19,1066812.5656612115,37,0.7027027027027026,0.001054054054054054,0.010668267727163719,1052776.76966398
2025-12-29,1058531.91862438,37,0.7027027027027026,0.001054054054054054,-0.007762044902142078,1052179.3511945363
2026-01-05,1092248.7535442673,37,0.9729729729729728,0.0014594594594594592,0.03185244991355967,1077211.171974411
2026-01-12,1056264.1603509774,37,1.243243243243243,0.0018648648648648646,-0.03294541932551761,1053387.7725637662
2026-01-19,1066932.466585832,37,0.5405405405405406,0.0008108108108108109,0.01010003617968961,1048131.4304066648
2026-01-27,1050250.0853288388,37,0.7567567567567566,0.0011351351351351349,-0.015635836174689242,1020516.3879551581
2026-02-03,1093089.5321894132,37,1.4594594594594597,0.0021891891891891897,0.04078975803859243,1045057.7204529799
2026-02-10,1114232.5107488334,37,1.7297297297297296,0.0025945945945945945,0.01934240328609827,1071855.6547248606
2026-02-17,1108520.3160895929,37,1.135135135135135,0.0017027027027027026,-0.0051265733176297365,1060727.0422472658
2026-02-24,1093730.4787310713,37,1.2972972972972971,0.0019459459459459458,-0.013341963285520978,1055586.2912228499
2026-03-04,1075360.892445727,37,0.8108108108108107,0.0012162162162162162,-0.016795350081727927,1013972.2142278053
2026-03-11,1051661.0242007591,37,1.8378378378378375,0.002756756756756756,-0.022038990269644856,995012.6805785244
2026-03-18,1038106.0556480025,37,1.351351351351351,0.0020270270270270267,-0.012889104227341828,975350.3948213542
2026-04-28,1027908.2207631442,37,1.405405405405405,0.0021081081081081076,-0.00982350004546759,980975.4523237286
2026-05-05,1033626.9025810105,37,1.0270270270270272,0.001540540540540541,0.005563416754873905,983268.5150124539
2026-05-12,1010403.4232706545,37,1.2432432432432432,0.0018648648648648648,-0.022467951687756994,955703.0041157803
2026-05-19,999839.5192505233,37,1.351351351351351,0.0020270270270270267,-0.010455134827172405,954941.6460122896
2026-05-26,1027216.4028629065,37,1.3513513513513513,0.002027027027027027,0.027381277780363044,981342.8577729223
2026-06-02,1009170.1163923079,37,1.1351351351351353,0.001702702702702703,-0.01756814476511722,965197.3025402101
2026-06-09,1013164.3276205458,37,1.1351351351351353,0.001702702702702703,0.0039579166716873304,960254.5269207961
2026-06-16,1036295.3936153983,37,1.243243243243243,0.0018648648648648646,0.022830517581661016,984958.0237109986
2026-06-23,1039435.7203363668,37,1.5135135135135136,0.0022702702702702706,0.0030303393610701854,982148.961013131
2026-06-30,1036641.475704638,37,1.2432432432432432,0.0018648648648648648,-0.0026882322562712677,978321.9995433589
2026-07-07,1023212.926602963,37,0.7567567567567568,0.0011351351351351353,-0.012953899121725933,985112.2199187056
2026-07-14,1018349.5753129814,37,1.4594594594594597,0.0021891891891891897,-0.004753019790443571,989070.0036117885
2026-07-21,1023095.4323188353,37,1.351351351351351,0.0020270270270270267,0.004660341714578025,995613.2118150445
2026-07-28,1007831.2480347558,37,0.9189189189189186,0.001378378378378378,-0.01491960945371778,992593.7654738482
2026-08-04,1024387.9554213588,37,0.5405405405405406,0.0008108108108108109,0.016428055211512915,1016283.8904443845
2026-08-11,1031411.8006865225,37,0.8108108108108107,0.0012162162162162162,0.00685662617174628,1013261.2235786762
2026-08-18,1018380.6586587408,37,1.5675675675675675,0.0023513513513513514,-0.012634276647899467,1004620.1951729471
2026-08-25,1025804.3213926905,37,1.243243243243243,0.0018648648648648646,0.007289673729396134,1012067.4737326085
2026-09-01,1004456.0740986001,37,1.4594594594594594,0.0021891891891891893,-0.020811227686296896,989546.287062015
2026-09-08,1000606.0885071427,37,1.5675675675675675,0.0023513513513513514,-0.003832905878848173,984628.1527199448
