entry_date,exit_date,stock,weight,gross_return,net_return,cost
2025-04-25,2025-05-27,^NSEI,0.02702702702702703,0.031667722603629045,0.028667722603629046,8.108108108108109e-05
2025-04-25,2025-05-27,TCS.NS,0.02702702702702703,0.024745277460149318,0.02174527746014932,8.108108108108109e-05
2025-04-25,2025-05-27,INFY.NS,0.02702702702702703,0.0680989847082476,0.0650989847082476,8.108108108108109e-05
2025-04-25,2025-05-27,HINDUNILVR.NS,0.02702702702702703,0.018336840481536498,0.015336840481536499,8.108108108108109e-05
2025-04-25,2025-05-27,MARUTI.NS,0.02702702702702703,0.0862793224331515,0.0832793224331515,8.108108108108109e-05
2025-04-25,2025-05-27,HCLTECH.NS,0.02702702702702703,0.06325879397328937,0.06025879397328937,8.108108108108109e-05
2025-04-25,2025-05-27,HINDALCO.NS,0.02702702702702703,0.05944247419263693,0.05644247419263693,8.108108108108109e-05
2025-04-25,2025-05-27,ADANIPORTS.NS,0.02702702702702703,0.1825604698212302,0.1795604698212302,8.108108108108109e-05
2025-04-25,2025-05-27,TECHM.NS,0.02702702702702703,0.08949845566208747,0.08649845566208747,8.108108108108109e-05
2025-04-25,2025-05-27,WIPRO.NS,0.02702702702702703,0.03779627944626385,0.034796279446263845,8.108108108108109e-05
2025-04-25,2025-05-27,DRREDDY.NS,0.02702702702702703,0.06078385752166837,0.05778385752166837,8.108108108108109e-05
2025-04-25,2025-05-27,DLF.NS,0.02702702702702703,0.18175575586809778,0.17875575586809778,8.108108108108109e-05
2025-04-25,2025-05-27,PIDILITIND.NS,0.02702702702702703,0.010529781531694038,0.007529781531694038,8.108108108108109e-05
2025-04-25,2025-05-27,SIEMENS.NS,0.02702702702702703,0.17346032212104,0.17046032212104,8.108108108108109e-05
2025-04-25,2025-05-27,TRENT.NS,0.02702702702702703,0.09025266060949111,0.0872526606094911,8.108108108108109e-05
2025-04-25,2025-05-27,RECLTD.NS,0.02702702702702703,-0.04358070660839519,-0.046580706608395195,8.108108108108109e-05
2025-04-25,2025-05-27,LUPIN.NS,0.02702702702702703,-0.023816574605060592,-0.02681657460506059,8.108108108108109e-05
2025-04-25,2025-05-27,MPHASIS.NS,0.02702702702702703,0.00703004525040285,0.00403004525040285,8.108108108108109e-05
2025-04-25,2025-05-27,KPITTECH.NS,0.02702702702702703,0.08927097547594065,0.08627097547594065,8.108108108108109e-05
2025-04-25,2025-05-27,JINDALSTEL.NS,0.02702702702702703,0.05430163029933488,0.05130163029933488,8.108108108108109e-05
2025-04-25,2025-05-27,NATIONALUM.NS,0.02702702702702703,0.16178338726906505,0.15878338726906505,8.108108108108109e-05
2025-04-25,2025-05-27,VEDL.NS,0.02702702702702703,0.08381651636058596,0.08081651636058595,8.108108108108109e-05
2025-04-25,2025-05-27,BALKRISIND.NS,0.02702702702702703,-0.011464052282206816,-0.014464052282206815,8.108108108108109e-05
2025-04-25,2025-05-27,TATACHEM.NS,0.02702702702702703,0.09867506186617181,0.0956750618661718,8.108108108108109e-05
2025-04-25,2025-05-27,RELAXO.NS,0.02702702702702703,0.04553465986889904,0.04253465986889904,8.108108108108109e-05
2025-04-25,2025-05-27,TIMKEN.NS,0.02702702702702703,0.2451086540652998,0.2421086540652998,8.108108108108109e-05
2025-04-25,2025-05-27,VOLTAS.NS,0.02702702702702703,0.024307113680565706,0.021307113680565707,8.108108108108109e-05
2025-04-25,2025-05-27,BLUESTARCO.NS,0.02702702702702703,-0.11977400111893388,-0.12277400111893388,8.108108108108109e-05
2025-04-25,2025-05-27,GLENMARK.NS,0.02702702702702703,0.016176521937996347,0.013176521937996347,8.108108108108109e-05
2025-04-25,2025-05-27,OBEROIRLTY.NS,0.02702702702702703,0.09150057563790615,0.08850057563790614,8.108108108108109e-05
2025-04-25,2025-05-27,GODREJPROP.NS,0.02702702702702703,0.08889420549754568,0.08589420549754567,8.108108108108109e-05
2025-04-25,2025-05-27,KARURVYSYA.NS,0.02702702702702703,0.07173076776572085,0.06873076776572085,8.108108108108109e-05
2025-04-25,2025-05-27,ANGELONE.NS,0.02702702702702703,0.2953531289511946,0.2923531289511946,8.108108108108109e-05
2025-04-25,2025-05-27,KEC.NS,0.02702702702702703,0.21294736977833284,0.20994736977833284,8.108108108108109e-05
2025-04-25,2025-05-27,KPIL.NS,0.02702702702702703,0.18296299267332516,0.17996299267332516,8.108108108108109e-05
