Date,equity,positions,turnover,cost,period_return,benchmark_equity
2025-05-23,993910.1844960982,37,0.9999999999999998,0.0014999999999999996,-0.006089815503901775,994908.9500585521
2025-05-30,990103.990315953,37,1.189189189189189,0.0017837837837837837,-0.0038295152213124154,993825.9412473037
2025-06-06,1017696.1008476617,37,0.8108108108108107,0.0012162162162162162,0.027867891455425464,1022995.3862944827
2025-06-13,1002958.7905616492,37,0.8648648648648647,0.001297297297297297,-0.0144810521271895,1005769.2373141124
2025-06-20,1000806.4393583994,37,0.9189189189189186,0.001378378378378378,-0.002146001633870367,997324.9409472971
2025-06-27,1043869.4945353934,37,0.5405405405405406,0.0008108108108108109,0.04302835541765807,1036077.6919051937
2025-07-04,1040760.0191457255,37,0.4864864864864865,0.0007297297297297298,-0.002978797067972417,1040583.8977054697
2025-07-11,1026656.7637263635,37,0.43243243243243246,0.0006486486486486487,-0.013550919674007265,1028106.6337520654
2025-07-18,1027288.3104094036,37,0.4864864864864865,0.0007297297297297298,0.0006151488066447212,1036712.3399666527
2025-07-25,1002537.2058442134,37,0.5945945945945946,0.000891891891891892,-0.02409363010791606,1015156.6712456635
2025-08-01,992123.1114803397,37,0.6486486486486487,0.000972972972972973,-0.010387738532959715,996541.042608742
2025-08-08,990049.1902802418,37,1.5135135135135136,0.0022702702702702706,-0.002090386945026859,987646.9897086432
2025-08-18,1020501.5153928022,37,1.6756756756756757,0.0025135135135135136,0.030758396059028716,1011983.2773584874
2025-08-25,1022809.5835329538,37,1.2432432432432432,0.0018648648648648648,0.002261699865544322,1016796.58341581
2025-09-02,1012659.8221557168,37,0.5945945945945946,0.000891891891891892,-0.009923412471535458,1014217.7614758288
2025-09-09,1028497.5097768529,37,0.6486486486486487,0.000972972972972973,0.015639691903073065,1025866.9613290671
2025-09-16,1044550.9666865864,37,0.9189189189189186,0.001378378378378378,0.015608649274431804,1047377.0942244825
2025-09-23,1044090.4663439478,37,0.5945945945945946,0.000891891891891892,-0.00044085962037767115,1043937.3193363934
2025-09-30,1023840.7008084842,37,0.3783783783783784,0.0005675675675675676,-0.019394646525574932,1018587.6772552903
2025-10-08,1054735.0837233367,37,0.5945945945945946,0.000891891891891892,0.030174990006215298,1036364.4862268845
2025-10-15,1077515.456368974,37,0.5945945945945946,0.000891891891891892,0.021598193704925255,1048935.9866894542
2025-10-23,1083985.402097112,37,0.5405405405405406,0.0008108108108108109,0.006004503870357933,1060579.106142526
2025-10-30,1093948.10124277,37,0.5405405405405406,0.0008108108108108109,0.009190805638511325,1067023.774261118
2025-11-07,1089505.442379501,37,0.5945945945945946,0.000891891891891892,-0.004061123976742641,1056362.00143216
2025-11-14,1099693.037006594,37,0.7027027027027026,0.001054054054054054,0.009350659694588691,1067714.796357445
2025-11-21,1086540.1780200708,37,0.5405405405405406,0.0008108108108108109,-0.011960482192672503,1055544.7607771799
2025-11-28,1100596.1342673118,37,0.9189189189189186,0.001378378378378378,0.012936434870594758,1066271.2201407843
2025-12-05,1084619.1313326962,37,0.43243243243243246,0.0006486486486486487,-0.014516680948776655,1055559.5067989207
2025-12-12,1083927.6597979288,37,0.5405405405405406,0.0008108108108108109,-0.0006375247446702934,1049273.5174193948
2025-12-19,1090750.3794900256,37,0.4864864864864865,0.0007297297297297298,0.006294441912635333,1052776.76966398
2025-12-29,1087066.9975918897,37,0.32432432432432434,0.0004864864864864865,-0.003376924700093086,1052179.3511945363
2026-01-05,1128348.2028708768,37,0.3783783783783784,0.0005675675675675676,0.03797484917712936,1077211.171974411
2026-01-12,1092116.3934660782,37,0.7027027027027026,0.001054054054054054,-0.03211048620684059,1053387.7725637662
2026-01-19,1099363.8914802615,37,0.5945945945945946,0.000891891891891892,0.006636195608401826,1048131.4304066648
2026-01-27,1057223.8111479604,37,0.7567567567567568,0.0011351351351351353,-0.03833133019819363,1020516.3879551581
2026-02-03,1103021.6687085673,37,0.9729729729729728,0.0014594594594594592,0.043318980406692346,1045057.7204529799
2026-02-10,1124981.4745138308,37,1.5135135135135136,0.0022702702702702706,0.01990877099538244,1071855.6547248606
2026-02-17,1110861.5445906087,37,0.9729729729729728,0.0014594594594594592,-0.012551255503406529,1060727.0422472658
2026-02-24,1121163.9936063953,37,0.6486486486486487,0.000972972972972973,0.009274287210638358,1055586.2912228499
2026-03-04,1098266.4603325995,37,0.8108108108108107,0.0012162162162162162,-0.02042300092080423,1013972.2142278053
2026-03-11,1073222.3370303467,37,1.7297297297297296,0.0025945945945945945,-0.022803321604365753,995012.6805785244
2026-03-18,1059532.362783314,37,1.6756756756756757,0.0025135135135135136,-0.012755953519299179,975350.3948213542
2026-04-28,1058509.8342168427,37,1.7297297297297296,0.0025945945945945945,-0.0009650753505869784,980975.4523237286
2026-05-05,1062893.4157201345,37,1.4054054054054053,0.002108108108108108,0.004141276123839681,983268.5150124539
2026-05-12,1023278.6883383562,37,1.405405405405405,0.0021081081081081076,-0.03727064896242523,955703.0041157803
2026-05-19,1019563.5818310736,37,1.189189189189189,0.0017837837837837837,-0.0036305911083865236,954941.6460122896
2026-05-26,1048236.2744194401,37,1.2972972972972971,0.0019459459459459458,0.02812251545594832,981342.8577729223
2026-06-02,1034456.2226624975,37,1.2432432432432432,0.0018648648648648648,-0.013145940560561661,965197.3025402101
2026-06-09,1028958.899477831,37,1.405405405405405,0.0021081081081081076,-0.005314215395715255,960254.5269207961
2026-06-16,1052384.5747553646,37,1.7837837837837835,0.0026756756756756753,0.022766385799687,984958.0237109986
2026-06-23,1036961.6889366045,37,1.2972972972972971,0.0019459459459459458,-0.014655180424271438,982148.961013131
2026-06-30,1036190.8349904753,37,1.081081081081081,0.0016216216216216213,-0.0007433774597012099,978321.9995433589
2026-07-07,1033888.5324536947,37,0.8648648648648647,0.001297297297297297,-0.002221890465574079,985112.2199187056
2026-07-14,1033510.8151800695,37,1.4054054054054053,0.002108108108108108,-0.00036533655395977927,989070.0036117885
2026-07-21,1036265.9638574437,37,1.4594594594594597,0.0021891891891891897,0.0026658150421910573,995613.2118150445
2026-07-28,1023827.0897415467,37,0.9189189189189186,0.001378378378378378,-0.012003553672258048,992593.7654738482
2026-08-04,1047209.355156668,37,1.0810810810810811,0.0016216216216216218,0.022838099957898022,1016283.8904443845
2026-08-11,1044062.7124650434,37,0.8108108108108107,0.0012162162162162162,-0.0030047885612650965,1013261.2235786762
2026-08-18,1034454.878568964,37,1.1351351351351353,0.001702702702702703,-0.00920235325078823,1004620.1951729471
2026-08-25,1041432.7400590682,37,1.405405405405405,0.0021081081081081076,0.0067454479017559936,1012067.4737326085
2026-09-01,1012171.9746496651,37,1.351351351351351,0.0020270270270270267,-0.02809664444363782,989546.287062015
2026-09-08,1012838.0770537575,37,1.2972972972972971,0.0019459459459459458,0.0006580921234486717,984628.1527199448
