entry_date,exit_date,stock,weight,gross_return,net_return,cost
2024-07-10,2025-07-15,^NSEI,0.02702702702702703,0.03279352213755882,0.029793522137558818,8.108108108108109e-05
2024-07-10,2025-07-15,RELIANCE.NS,0.02702702702702703,-0.06897677873975572,-0.07197677873975572,8.108108108108109e-05
2024-07-10,2025-07-15,TCS.NS,0.02702702702702703,-0.14965573379684827,-0.15265573379684827,8.108108108108109e-05
2024-07-10,2025-07-15,ICICIBANK.NS,0.02702702702702703,0.15399059202302046,0.15099059202302045,8.108108108108109e-05
2024-07-10,2025-07-15,INFY.NS,0.02702702702702703,-0.02207226057832823,-0.025072260578328228,8.108108108108109e-05
2024-07-10,2025-07-15,SBIN.NS,0.02702702702702703,-0.025766789471654117,-0.028766789471654116,8.108108108108109e-05
2024-07-10,2025-07-15,LT.NS,0.02702702702702703,-0.03369420066973117,-0.03669420066973117,8.108108108108109e-05
2024-07-10,2025-07-15,AXISBANK.NS,0.02702702702702703,-0.10318947681951063,-0.10618947681951063,8.108108108108109e-05
2024-07-10,2025-07-15,MARUTI.NS,0.02702702702702703,-0.011374388370617106,-0.014374388370617105,8.108108108108109e-05
2024-07-10,2025-07-15,SUNPHARMA.NS,0.02702702702702703,0.09412411146111621,0.09112411146111621,8.108108108108109e-05
2024-07-10,2025-07-15,HCLTECH.NS,0.02702702702702703,0.07154103547470636,0.06854103547470636,8.108108108108109e-05
2024-07-10,2025-07-15,TATASTEEL.NS,0.02702702702702703,-0.04289432791424852,-0.04589432791424852,8.108108108108109e-05
2024-07-10,2025-07-15,POWERGRID.NS,0.02702702702702703,-0.11237223605623814,-0.11537223605623814,8.108108108108109e-05
2024-07-10,2025-07-15,ADANIENT.NS,0.02702702702702703,-0.16510396777453928,-0.1681039677745393,8.108108108108109e-05
2024-07-10,2025-07-15,COALINDIA.NS,0.02702702702702703,-0.16487735952413785,-0.16787735952413785,8.108108108108109e-05
2024-07-10,2025-07-15,JSWSTEEL.NS,0.02702702702702703,0.11824877319328597,0.11524877319328597,8.108108108108109e-05
2024-07-10,2025-07-15,GRASIM.NS,0.02702702702702703,-0.010726188692625871,-0.01372618869262587,8.108108108108109e-05
2024-07-10,2025-07-15,HINDALCO.NS,0.02702702702702703,-0.04297803197754457,-0.045978031977544576,8.108108108108109e-05
2024-07-10,2025-07-15,NESTLEIND.NS,0.02702702702702703,-0.06401324966939614,-0.06701324966939615,8.108108108108109e-05
2024-07-10,2025-07-15,ADANIPORTS.NS,0.02702702702702703,-0.027061954388815646,-0.030061954388815645,8.108108108108109e-05
2024-07-10,2025-07-15,TECHM.NS,0.02702702702702703,0.12018610518831552,0.11718610518831551,8.108108108108109e-05
2024-07-10,2025-07-15,BRITANNIA.NS,0.02702702702702703,0.010483482580343262,0.007483482580343262,8.108108108108109e-05
2024-07-10,2025-07-15,EICHERMOT.NS,0.02702702702702703,0.16050535654636766,0.15750535654636766,8.108108108108109e-05
2024-07-10,2025-07-15,DIVISLAB.NS,0.02702702702702703,0.4670633121836054,0.4640633121836054,8.108108108108109e-05
2024-07-10,2025-07-15,CIPLA.NS,0.02702702702702703,-0.00224838326065957,-0.00524838326065957,8.108108108108109e-05
2024-07-10,2025-07-15,APOLLOHOSP.NS,0.02702702702702703,0.15640979731609095,0.15340979731609095,8.108108108108109e-05
2024-07-10,2025-07-15,TATACONSUM.NS,0.02702702702702703,-0.05278543472605146,-0.055785434726051464,8.108108108108109e-05
2024-07-10,2025-07-15,DRREDDY.NS,0.02702702702702703,-0.03201736193770077,-0.035017361937700775,8.108108108108109e-05
2024-07-10,2025-07-15,BAJAJ-AUTO.NS,0.02702702702702703,-0.10697643587990613,-0.10997643587990613,8.108108108108109e-05
2024-07-10,2025-07-15,PIDILITIND.NS,0.02702702702702703,-0.04792230184228108,-0.05092230184228108,8.108108108108109e-05
2024-07-10,2025-07-15,DABUR.NS,0.02702702702702703,-0.1632680876500071,-0.1662680876500071,8.108108108108109e-05
2024-07-10,2025-07-15,COLPAL.NS,0.02702702702702703,-0.1971185748030726,-0.2001185748030726,8.108108108108109e-05
2024-07-10,2025-07-15,MPHASIS.NS,0.02702702702702703,0.15357923758035663,0.15057923758035663,8.108108108108109e-05
2024-07-10,2025-07-15,IOC.NS,0.02702702702702703,-0.08894691420481682,-0.09194691420481682,8.108108108108109e-05
2024-07-10,2025-07-15,TATAPOWER.NS,0.02702702702702703,-0.07638205646015561,-0.07938205646015561,8.108108108108109e-05
2024-07-10,2025-07-15,MRF.NS,0.02702702702702703,0.15352186175297744,0.15052186175297744,8.108108108108109e-05
2024-07-10,2025-07-15,SYNGENE.NS,0.02702702702702703,-0.11862709216706702,-0.12162709216706702,8.108108108108109e-05
