entry_date,exit_date,stock,weight,gross_return,net_return,cost
2025-05-16,2025-05-23,TCS.NS,0.02702702702702703,-0.00816900084846095,-0.01116900084846095,8.108108108108109e-05
2025-05-16,2025-05-23,INFY.NS,0.02702702702702703,-0.006279773475872497,-0.009279773475872496,8.108108108108109e-05
2025-05-16,2025-05-23,BHARTIARTL.NS,0.02702702702702703,0.0065861475678008485,0.0035861475678008485,8.108108108108109e-05
2025-05-16,2025-05-23,ITC.NS,0.02702702702702703,0.007471313852621453,0.004471313852621453,8.108108108108109e-05
2025-05-16,2025-05-23,NTPC.NS,0.02702702702702703,0.02302532423230841,0.02002532423230841,8.108108108108109e-05
2025-05-16,2025-05-23,POWERGRID.NS,0.02702702702702703,-0.006457145635126116,-0.009457145635126115,8.108108108108109e-05
2025-05-16,2025-05-23,ULTRACEMCO.NS,0.02702702702702703,-0.008736561014706101,-0.0117365610147061,8.108108108108109e-05
2025-05-16,2025-05-23,GRASIM.NS,0.02702702702702703,-0.05230504919623857,-0.055305049196238576,8.108108108108109e-05
2025-05-16,2025-05-23,NESTLEIND.NS,0.02702702702702703,0.004326180265866952,0.0013261802658669523,8.108108108108109e-05
2025-05-16,2025-05-23,WIPRO.NS,0.02702702702702703,-0.02288540837744013,-0.02588540837744013,8.108108108108109e-05
2025-05-16,2025-05-23,EICHERMOT.NS,0.02702702702702703,-0.019419212399463204,-0.022419212399463203,8.108108108108109e-05
2025-05-16,2025-05-23,PIDILITIND.NS,0.02702702702702703,-0.014544305925648815,-0.017544305925648814,8.108108108108109e-05
2025-05-16,2025-05-23,GODREJCP.NS,0.02702702702702703,-0.018572540508771773,-0.021572540508771772,8.108108108108109e-05
2025-05-16,2025-05-23,DABUR.NS,0.02702702702702703,0.009212680867188627,0.006212680867188627,8.108108108108109e-05
2025-05-16,2025-05-23,LUPIN.NS,0.02702702702702703,-0.04251729320116815,-0.04551729320116815,8.108108108108109e-05
2025-05-16,2025-05-23,TATAPOWER.NS,0.02702702702702703,-0.01360957425521303,-0.01660957425521303,8.108108108108109e-05
2025-05-16,2025-05-23,NHPC.NS,0.02702702702702703,-0.043135917750892205,-0.04613591775089221,8.108108108108109e-05
2025-05-16,2025-05-23,TORNTPOWER.NS,0.02702702702702703,-0.022001521266530766,-0.025001521266530765,8.108108108108109e-05
2025-05-16,2025-05-23,CESC.NS,0.02702702702702703,0.025119966778658798,0.0221199667786588,8.108108108108109e-05
2025-05-16,2025-05-23,VEDL.NS,0.02702702702702703,0.004637981739196384,0.001637981739196384,8.108108108108109e-05
2025-05-16,2025-05-23,BALKRISIND.NS,0.02702702702702703,-0.095554985376897,-0.098554985376897,8.108108108108109e-05
2025-05-16,2025-05-23,TATACHEM.NS,0.02702702702702703,0.023139553407074187,0.020139553407074188,8.108108108108109e-05
2025-05-16,2025-05-23,COROMANDEL.NS,0.02702702702702703,-0.02834005850111132,-0.03134005850111132,8.108108108108109e-05
2025-05-16,2025-05-23,GNFC.NS,0.02702702702702703,0.027190378025445217,0.024190378025445217,8.108108108108109e-05
2025-05-16,2025-05-23,JUBLFOOD.NS,0.02702702702702703,-0.015119042163528329,-0.018119042163528328,8.108108108108109e-05
2025-05-16,2025-05-23,BATAINDIA.NS,0.02702702702702703,0.013666925907876104,0.010666925907876105,8.108108108108109e-05
2025-05-16,2025-05-23,RELAXO.NS,0.02702702702702703,0.01033476423765145,0.00733476423765145,8.108108108108109e-05
2025-05-16,2025-05-23,ABFRL.NS,0.02702702702702703,-0.6796306131806027,-0.6826306131806027,8.108108108108109e-05
2025-05-16,2025-05-23,BLUESTARCO.NS,0.02702702702702703,-0.004478544051007227,-0.007478544051007227,8.108108108108109e-05
2025-05-16,2025-05-23,AMBER.NS,0.02702702702702703,-0.010733590733590703,-0.013733590733590702,8.108108108108109e-05
2025-05-16,2025-05-23,GLENMARK.NS,0.02702702702702703,-0.0577716070371308,-0.060771607037130804,8.108108108108109e-05
2025-05-16,2025-05-23,M&MFIN.NS,0.02702702702702703,-0.03492290278554078,-0.03792290278554078,8.108108108108109e-05
2025-05-16,2025-05-23,MANAPPURAM.NS,0.02702702702702703,0.007509918288087558,0.004509918288087558,8.108108108108109e-05
